assocID,Disease,Disease_CUI,Gene_Symbol,Entrez_Gene_ID,Ensembl_Gene_ID,Gene_Description,Gene_Type,Raw_GDA_Score,Normalized_Score,N_PMIDs,First_Ref_Year,Last_Ref_Year,EI,DSI,DPI,Evidence_Origin,Has_Human_TextMining,Has_Model_TextMining,Broad_Ischemic_Stroke_Present,Broad_Raw_GDA_Score,Broad_N_PMIDs,Evidence_Tier,Protein_Coding_for_STRING,Human_Literature_Extended_Eligible,Conservative_EI_Eligible,Recommended_Use,Association_Role,Caution,Score_Breakdown
134_C5392833,Acute Ischemic Stroke,C5392833,ADORA1,134,ENSG00000163485,adenosine A1 receptor,protein-coding,0.15,0.0967741935483871,1,2022,2022,1,0.51,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.2,3,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
10554_C5392833,Acute Ischemic Stroke,C5392833,AGPAT1,10554,ENSG00000204310,1-acylglycerol-3-phosphate O-acyltransferase 1,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.51,0.79,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
239_C5392833,Acute Ischemic Stroke,C5392833,ALOX12,239,ENSG00000108839,"arachidonate 12-lipoxygenase, 12S type",protein-coding,0.15,0.0967741935483871,1,2013,2013,1,0.54,0.83,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
283_C5392833,Acute Ischemic Stroke,C5392833,ANG,283,ENSG00000214274,angiogenin,protein-coding,0.15,0.0967741935483871,1,2013,2013,1,0.47,0.83,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
308_C5392833,Acute Ischemic Stroke,C5392833,ANXA5,308,ENSG00000164111,annexin A5,protein-coding,0.15,0.0967741935483871,1,2022,2022,1,0.47,0.79,Model_text_mining_only,FALSE,TRUE,TRUE,0.1,0,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
8707_C5392833,Acute Ischemic Stroke,C5392833,B3GALT2,8707,ENSG00000162630,"beta-1,3-galactosyltransferase 2",protein-coding,0.15,0.0967741935483871,1,2021,2021,1,0.76,0.42,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
168667_C5392833,Acute Ischemic Stroke,C5392833,BMPER,168667,ENSG00000164619,BMP binding endothelial regulator,protein-coding,0.15,0.0967741935483871,1,2022,2022,1,0.55,0.83,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
682_C5392833,Acute Ischemic Stroke,C5392833,BSG,682,ENSG00000172270,basigin (Ok blood group),protein-coding,0.15,0.0967741935483871,1,2019,2019,1,0.44,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,4,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
11314_C5392833,Acute Ischemic Stroke,C5392833,CD300A,11314,ENSG00000167851,CD300a molecule,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.64,0.67,Model_text_mining_only,FALSE,TRUE,TRUE,0.15,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
10871_C5392833,Acute Ischemic Stroke,C5392833,CD300C,10871,ENSG00000167850,CD300c molecule,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.74,0.58,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
942_C5392833,Acute Ischemic Stroke,C5392833,CD86,942,ENSG00000114013,CD86 molecule,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.43,0.79,Model_text_mining_only,FALSE,TRUE,TRUE,0.1,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
8556_C5392833,Acute Ischemic Stroke,C5392833,CDC14A,8556,ENSG00000079335,cell division cycle 14A,protein-coding,0.15,0.0967741935483871,1,2023,2023,1,0.68,0.46,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
51266_C5392833,Acute Ischemic Stroke,C5392833,CLEC1B,51266,ENSG00000165682,C-type lectin domain family 1 member B,protein-coding,0.15,0.0967741935483871,1,2021,2021,1,0.59,0.75,Model_text_mining_only,FALSE,TRUE,TRUE,0.3,2,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
1499_C5392833,Acute Ischemic Stroke,C5392833,CTNNB1,1499,ENSG00000168036,catenin beta 1,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.3,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.35,10,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
123099_C5392833,Acute Ischemic Stroke,C5392833,DEGS2,123099,ENSG00000168350,"delta 4-desaturase, sphingolipid 2",protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.78,0.46,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
10059_C5392833,Acute Ischemic Stroke,C5392833,DNM1L,10059,ENSG00000087470,dynamin 1 like,protein-coding,0.15,0.0967741935483871,1,2024,2024,1,0.44,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,4,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
1948_C5392833,Acute Ischemic Stroke,C5392833,EFNB2,1948,ENSG00000125266,ephrin B2,protein-coding,0.15,0.0967741935483871,1,2019,2019,1,0.54,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.2,2,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
2050_C5392833,Acute Ischemic Stroke,C5392833,EPHB4,2050,ENSG00000196411,EPH receptor B4,protein-coding,0.15,0.0967741935483871,1,2021,2021,1,0.5,0.75,Model_text_mining_only,FALSE,TRUE,TRUE,0.1,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
2214_C5392833,Acute Ischemic Stroke,C5392833,FCGR3A,2214,ENSG00000203747,Fc gamma receptor IIIa,protein-coding,0.15,0.0967741935483871,1,2020,2020,1,0.4,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.1,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
2535_C5392833,Acute Ischemic Stroke,C5392833,FZD2,2535,ENSG00000180340,frizzled class receptor 2,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.53,0.79,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
2735_C5392833,Acute Ischemic Stroke,C5392833,GLI1,2735,ENSG00000111087,GLI family zinc finger 1,protein-coding,0.15,0.0967741935483871,1,2012,2012,1,0.42,0.88,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
2739_C5392833,Acute Ischemic Stroke,C5392833,GLO1,2739,ENSG00000124767,glyoxalase I,protein-coding,0.15,0.0967741935483871,1,2023,2023,1,0.51,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.15,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
2932_C5392833,Acute Ischemic Stroke,C5392833,GSK3B,2932,ENSG00000082701,glycogen synthase kinase 3 beta,protein-coding,0.15,0.0967741935483871,1,2020,2020,1,0.4,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,6,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
55600_C5392833,Acute Ischemic Stroke,C5392833,ITLN1,55600,ENSG00000179914,intelectin 1,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.52,0.79,Model_text_mining_only,FALSE,TRUE,TRUE,0.35,2,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
9314_C5392833,Acute Ischemic Stroke,C5392833,KLF4,9314,ENSG00000136826,KLF transcription factor 4,protein-coding,0.15,0.0967741935483871,1,2020,2020,1,0.45,0.83,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,3,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
3817_C5392833,Acute Ischemic Stroke,C5392833,KLK2,3817,ENSG00000167751,kallikrein related peptidase 2,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.51,0.88,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
51574_C5392833,Acute Ischemic Stroke,C5392833,LARP7,51574,ENSG00000174720,"La ribonucleoprotein 7, transcriptional regulator",protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.61,0.71,Model_text_mining_only,FALSE,TRUE,TRUE,0.15,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
5641_C5392833,Acute Ischemic Stroke,C5392833,LGMN,5641,ENSG00000100600,legumain,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.54,0.83,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,3,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
84232_C5392833,Acute Ischemic Stroke,C5392833,MAF1,84232,ENSG00000179632,MAF1 negative regulator of RNA polymerase III,protein-coding,0.15,0.0967741935483871,1,2021,2021,1,0.69,0.42,Model_text_mining_only,FALSE,TRUE,TRUE,0.15,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
1432_C5392833,Acute Ischemic Stroke,C5392833,MAPK14,1432,ENSG00000112062,mitogen-activated protein kinase 14,protein-coding,0.15,0.0967741935483871,1,2020,2020,1,0.44,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.15,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
284207_C5392833,Acute Ischemic Stroke,C5392833,METRNL,284207,ENSG00000176845,"meteorin like, glial cell differentiation regulator",protein-coding,0.15,0.0967741935483871,1,2024,2024,0,0.61,0.75,Model_text_mining_only,FALSE,TRUE,TRUE,0.15,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
407014_C5392833,Acute Ischemic Stroke,C5392833,MIR25,407014,ENSG00000207547,microRNA 25,ncRNA,0.15,0.0967741935483871,1,2022,2022,1,0.53,0.83,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
407025_C5392833,Acute Ischemic Stroke,C5392833,MIR29B2,407025,ENSG00000284203,microRNA 29b-2,ncRNA,0.15,0.0967741935483871,1,2013,2013,1,0.48,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,7,Low_score_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_low_score_audit_only,,Non-protein-coding and raw GDA score below 0.20; audit only.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
197259_C5392833,Acute Ischemic Stroke,C5392833,MLKL,197259,ENSG00000168404,mixed lineage kinase domain like pseudokinase,protein-coding,0.15,0.0967741935483871,1,2020,2020,1,0.5,0.83,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,3,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
4322_C5392833,Acute Ischemic Stroke,C5392833,MMP13,4322,ENSG00000137745,matrix metallopeptidase 13,protein-coding,0.15,0.0967741935483871,1,2021,2021,1,0.39,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.35,7,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
4481_C5392833,Acute Ischemic Stroke,C5392833,MSR1,4481,ENSG00000038945,macrophage scavenger receptor 1,protein-coding,0.15,0.0967741935483871,1,2021,2021,1,0.51,0.79,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,2,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
2475_C5392833,Acute Ischemic Stroke,C5392833,MTOR,2475,ENSG00000198793,mechanistic target of rapamycin kinase,protein-coding,0.15,0.0967741935483871,1,2020,2020,1,0.32,0.92,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,9,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
57555_C5392833,Acute Ischemic Stroke,C5392833,NLGN2,57555,ENSG00000169992,neuroligin 2,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.65,0.54,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
64802_C5392833,Acute Ischemic Stroke,C5392833,NMNAT1,64802,ENSG00000173614,nicotinamide nucleotide adenylyltransferase 1,protein-coding,0.15,0.0967741935483871,1,2019,2019,1,0.54,0.79,Model_text_mining_only,FALSE,TRUE,TRUE,0.1,1,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
3084_C5392833,Acute Ischemic Stroke,C5392833,NRG1,3084,ENSG00000157168,neuregulin 1,protein-coding,0.15,0.0967741935483871,1,2014,2014,1,0.42,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,2,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
55644_C5392833,Acute Ischemic Stroke,C5392833,OSGEP,55644,ENSG00000092094,O-sialoglycoprotein endopeptidase,protein-coding,0.15,0.0967741935483871,1,2025,2025,1,0.59,0.71,Model_text_mining_only,FALSE,TRUE,FALSE,,,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
24145_C5392833,Acute Ischemic Stroke,C5392833,PANX1,24145,ENSG00000110218,pannexin 1,protein-coding,0.15,0.0967741935483871,1,2024,2024,1,0.53,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,3,Low_score_PC_audit,TRUE,FALSE,FALSE,Low_score_audit_only,,Raw GDA score below 0.20; retain only for audit.,Total: 0.15 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=1; weight=0.1
